SYSTEM_NO,SYSTEM_NAM,HQNAME,ADDRESS,CITY,STATE,ZIP,ZIP_EXT,POP_SERV,CONNECTION,AREA_SERVE
0300086,Grace Fellowship Church,Grace Fellowship Church,8040 S Highway 49 Hwy,Jackson,CA,95642,,25,2,
0300087,Turley Wine Cellars,Turley Wines,10851 Shenandoah Rd,Plymouth,CA,95669,,50,1,Bantam Cellars
0300088,Black Chasm Cavern,Black Chasm Cavern,15701 Pioneer Volcano Rd,Volcano,CA,95689,,112,2,
0300089,Jeff Runquist Winery,Jeff Runquist Winery,10776 Shenandoah Rd,Plymouth,CA,95669,,32,3,Jeff Runquist Winery
0300090,Borjon Winery,Borjon Winery,11270 Shenandoah Rd,Plymouth,CA,95669,,25,1,
0300091,Sera Fina Cellars,Sera Fina Cellars,17000 Latrobe Rd,Plymouth,CA,95669,,25,1,
0300092,Driven Cellars,Driven Cellars,12595 Steiner Rd,Plymouth,CA,95669,,200,6,
0300095,AMADOR FLOWER FARM,,12455 STEINER ROAD,PLYMOUTH,CA,95669,,25,5,
0300096,Andis Wines,Andis Wines,11000 Shenandoah Rd,Plymouth,CA,95669,,32,1,
0300097,Sierra Sunrise dba Terra d Oro/Montevina,Terra d Oro Vineyards,20680 Shenandoah School Rd,Plymouth,CA,95669,,81,3,
0300098,Nine Gables,Nine Gables,10778 Shenandoah Rd,Plymouth,CA,95669,,25,3,
0300099,Helwig Winery,Helwig Vineyards,11555 Shenandoah Road,Plymouth,CA,95669,,32,5,
0300101,RENWOOD WINERY,,12455 STEINER ROAD,PLYMOUTH,CA,95669,,25,5,
0300102,SCHMITZ WINES,,,,,,,25,2,
0300107,BELLA GRACE VINEYARDS,,22715 Upton Road,PLYMOUTH,CA,95669,,25,3,
0300338,Silver Lake Mutual Water Co.,,West Side of Silver Lake,Pioneer,CA,95666,,24,6,
0300356,Parkside Apartments,,20695  Parkside Ln,Pine Grove,CA,95665,,20,12,
0300364,The Point Motel,,26882 Highway 88,Pioneer,CA,95666,,300,14,
0300396,Wedgewood Inn,,11941 Narcissus Rd,Jackson,CA,95642,,24,6,
0300448,Mallo Gold Mine Plaza,Mallo Gold Mine Plaza,13828 Gold Mine Rd 7A,Pine Grove,CA,95665,-949,25,10,
0300518,Oro Madre Moose Lodge 1761,Oro Madre Moose Lodge 1761,21200 Ostrom RD,Fiddletown,CA,95629,,300,1,
0300524,"MP Associates, Inc.","MP Associates, Inc.",6555 Jackson Valley Rd,Ione,CA,95640,,170,2,
0300580,Church of the Nazarene,Church of the Nazarene,14050 Ridge RD,Sutter Creek,CA,95685,,250,1,
0300592,Boral Roofing LLC,Boral Roofing LLC,1000 Kings Station Rd,Ione,CA,95640,,65,1,
0300593,Pine Grove Group,Pine Grove Group,25500 Highway 88 Ct,Pine Grove,CA,95665,,30,2,
0300627,AMADOR STATION,,27846 E INSPIRATION DR,PIONEER,CA,95666,,200,2,
0300649,Rancho Cicada,Rancho Cicada,10001 Bell Rd,Plymouth,CA,95669,,40,6,
0300667,Golden Valley Camp,Golden Valley Camp,22500 Barone Rd,Volcano,CA,95689,,40,4,
0300679,Jackson Valley Energy Partners,Jackson Valley Energy Partners,4655 Coal Mine Rd,Ione,CA,95640,,50,3,
0301038,PARDEE RECREATION AREA,PARDEE RECREATI,"EBMUD Center, Pardee Center",VALLEY SPRINGS,CA,95252,252,100,93,
0310001,CITY OF JACKSON,CITY OF JACKSON,33 Broadway,JACKSON,CA,95642,,4686,2089,
0310002,"AWA, IONE",AMADOR WATER AG,P.O. Box 905,JACKSON,CA,95642,0905,13339,1653,IONE
0310003,"AWA, SUTTER CREEK",AMADOR COUNTY WATER AGENCY,12800 Ridge Road P.O. Box 905,SUTTER CREEK,CA,95685,0905,5084,1833,
0310004,"PLYMOUTH, CITY OF",PLYMOUTH                CA95669    2,P.O. Box 429,PLYMOUTH,CA,95669,dard,1060,480,PLYMOUTH & VICINITY
0310005,PINE GROVE COMM SERV DIST,,P.O. Box 367,PINE GROVE,CA,95665,,846,364,PINE GROVE
0310006,RIVER PINES PUD,MANAGER,P.O.Box 144,RIVER PINES,CA,95675,675,510,219,RIVER PINES
0310007,AMAODR CO. SERVICE AREA # 1,AMADOR COUNTY SERV AREA NO 1,500 Argonaut Lane,JACKSON,CA,95642,9534,0,482,
0310008,CAMANCHE NORTH SHORE INC.,VALLEY SPRINGS          CA95252    2,Pardee Center,VALLEY SPRINGS,CA,95252,,255,211,
0310009,"AWA, PINE ACRES #4",AWA PINE ACRES,P.O. Box 384,PINE GROVE,CA,95665,,0,490,PINE ACRES
0310010,"AWA, PIONEER I.D. #1","AWA, PIONEER I.",12800 Ridge Road P.O. Box 905,JACKSON,CA,95642,0905,0,1007,PIONEER/IMPROVEMENT DIST NO. 1
0310011,FIRST MACE MEADOW # 1,,P.O. Box 85,PINE GROVE,CA,95665,,838,337,MACE MEADOW NO 2-7
